osm_id,osm_type,name,operator,brand,latitude,longitude,capacity,socket_type,socket_type2,opening_hours,access,fee,website,phone
5694140128,node,,,,28.555381,77.228418,,,,,,,,
6404118987,node,,Energy Efficiency Services Limited (EESL),,28.6336834,77.2219946,1,,,,,,,
6404118988,node,,Energy Efficiency Services Limited (EESL),Ather,28.6336147,77.2218243,2,,,,,,,
6761961056,node,,,,28.6341092,77.2202799,1,,,,,,,
6761961057,node,,Energy Efficiency Services Limited (EESL),,28.633798,77.2208339,1,,,,,,,
6918479540,node,,,,28.5854347,77.2203893,,,,,,,,
6918479558,node,,,,28.587056,77.2120476,,,,,,,,
6961442929,node,,,,28.5865591,77.1934263,,,,,,,,
6961442954,node,,,,28.5866112,77.1934058,,,,,,,,
6988161557,node,,,,28.6342608,77.2206422,,,,,,,,
6988161559,node,,,,28.634276,77.2209612,,,,,,,,
7083796927,node,,,,28.6350123,77.2197325,,,,,,,,
7083916144,node,,EESL,,28.6341151,77.217651,1,,,,,,,
7274257107,node,,,,28.6327684,77.2228545,1,,,,,,,
8948790096,node,Plug N Go,,,28.6214714,77.2936333,,,,,,,,
9104747115,node,,,,28.5288838,77.2137728,,,,,,,,
9237403818,node,,,,28.630944,77.2233578,,,,,,,,
9237403820,node,,,,28.6310563,77.2230955,,,,,,,,
9684753376,node,,,,28.6040475,77.1977963,,,,,,,,
9684753377,node,,,,28.6040394,77.1977808,,,,,,,,
9684753378,node,,,,28.6040316,77.1977661,,,,,,,,
9739382793,node,,,,28.5483686,77.2547221,,,,,,,,
9739382794,node,,,,28.5482674,77.2545695,,,,,,,,
9739382795,node,,,,28.5483966,77.2547099,,,,,,,,
9952802373,node,,ElectriVa,,28.5692695,77.1884585,,,,,,,,
9952802374,node,,ElectriVa,,28.5692799,77.1883649,,,,,,,,
10008994593,node,,,,28.622372,77.290246,,,,,,,,
10008994594,node,,,,28.6223602,77.2902508,,,,,,,,
10089151842,node,,ElectriVa,,28.5426954,77.2219126,4,,,,,,,
